step,tag,value
0,Converged molecules,2.0
1,Converged molecules,3.0
2,Converged molecules,4.0
3,Converged molecules,5.0
4,Converged molecules,6.0
5,Converged molecules,7.0
6,Converged molecules,8.0
7,Converged molecules,9.0
8,Converged molecules,10.0
9,Converged molecules,11.0
10,Converged molecules,12.0
11,Converged molecules,13.0
12,Converged molecules,14.0
13,Converged molecules,15.0
14,Converged molecules,16.0
15,Converged molecules,17.0
16,Converged molecules,18.0
17,Converged molecules,19.0
18,Converged molecules,20.0
19,Converged molecules,21.0
20,Converged molecules,22.0
21,Converged molecules,23.0
22,Converged molecules,24.0
23,Converged molecules,25.0
24,Converged molecules,26.0
25,Converged molecules,27.0
26,Converged molecules,28.0
27,Converged molecules,29.0
28,Converged molecules,30.0
29,Converged molecules,31.0
30,Converged molecules,32.0
31,Converged molecules,33.0
32,Converged molecules,34.0
33,Converged molecules,35.0
34,Converged molecules,36.0
35,Converged molecules,37.0
36,Converged molecules,38.0
37,Converged molecules,39.0
38,Converged molecules,40.0
39,Converged molecules,41.0
40,Converged molecules,42.0
41,Converged molecules,43.0
42,Converged molecules,44.0
43,Converged molecules,45.0
44,Converged molecules,46.0
45,Converged molecules,47.0
46,Converged molecules,48.0
47,Converged molecules,49.0
48,Converged molecules,50.0
49,Converged molecules,51.0
50,Converged molecules,52.0
51,Converged molecules,53.0
52,Converged molecules,54.0
53,Converged molecules,55.0
54,Converged molecules,56.0
55,Converged molecules,57.0
56,Converged molecules,58.0
57,Converged molecules,59.0
58,Converged molecules,60.0
59,Converged molecules,61.0
60,Converged molecules,62.0
61,Converged molecules,63.0
62,Converged molecules,64.0
63,Converged molecules,65.0
64,Converged molecules,66.0
65,Converged molecules,67.0
66,Converged molecules,68.0
67,Converged molecules,69.0
68,Converged molecules,70.0
69,Converged molecules,71.0
70,Converged molecules,72.0
71,Converged molecules,73.0
72,Converged molecules,74.0
73,Converged molecules,75.0
74,Converged molecules,76.0
75,Converged molecules,77.0
76,Converged molecules,78.0
77,Converged molecules,79.0
78,Converged molecules,80.0
79,Converged molecules,81.0
80,Converged molecules,83.0
81,Converged molecules,84.0
82,Converged molecules,85.0
83,Converged molecules,86.0
84,Converged molecules,87.0
85,Converged molecules,88.0
86,Converged molecules,89.0
87,Converged molecules,90.0
88,Converged molecules,91.0
89,Converged molecules,92.0
90,Converged molecules,93.0
91,Converged molecules,94.0
92,Converged molecules,95.0
93,Converged molecules,96.0
94,Converged molecules,97.0
95,Converged molecules,98.0
96,Converged molecules,99.0
97,Converged molecules,100.0
98,Converged molecules,101.0
99,Converged molecules,102.0
100,Converged molecules,103.0
101,Converged molecules,104.0
102,Converged molecules,105.0
103,Converged molecules,106.0
104,Converged molecules,107.0
105,Converged molecules,108.0
106,Converged molecules,109.0
107,Converged molecules,110.0
108,Converged molecules,111.0
109,Converged molecules,112.0
110,Converged molecules,113.0
111,Converged molecules,114.0
112,Converged molecules,115.0
113,Converged molecules,116.0
114,Converged molecules,117.0
115,Converged molecules,118.0
116,Converged molecules,119.0
117,Converged molecules,120.0
118,Converged molecules,121.0
119,Converged molecules,122.0
120,Converged molecules,123.0
121,Converged molecules,124.0
122,Converged molecules,125.0
123,Converged molecules,126.0
124,Converged molecules,127.0
125,Converged molecules,128.0
126,Converged molecules,129.0
127,Converged molecules,130.0
128,Converged molecules,131.0
129,Converged molecules,132.0
130,Converged molecules,133.0
131,Converged molecules,134.0
132,Converged molecules,135.0
133,Converged molecules,136.0
134,Converged molecules,137.0
135,Converged molecules,138.0
136,Converged molecules,139.0
137,Converged molecules,140.0
138,Converged molecules,141.0
139,Converged molecules,142.0
140,Converged molecules,143.0
0,Converged molecules/dataloader_idx_0,82.0
0,Gradient norm denop,9.969048551283777e-05
1,Gradient norm denop,9.865089668892324e-05
2,Gradient norm denop,9.774207137525082e-05
3,Gradient norm denop,9.700457303551957e-05
4,Gradient norm denop,9.638538176659495e-05
5,Gradient norm denop,9.93633148027584e-05
6,Gradient norm denop,9.853153460426256e-05
7,Gradient norm denop,9.779349784366786e-05
8,Gradient norm denop,9.714972111396492e-05
9,Gradient norm denop,9.664514072937891e-05
10,Gradient norm denop,9.627350664231926e-05
11,Gradient norm denop,9.59952812991105e-05
12,Gradient norm denop,9.583818609826267e-05
13,Gradient norm denop,9.576921002008021e-05
14,Gradient norm denop,9.992731793317944e-05
15,Gradient norm denop,9.934313129633665e-05
16,Gradient norm denop,9.887658234219998e-05
17,Gradient norm denop,9.854629752226174e-05
18,Gradient norm denop,9.825221786741167e-05
